[2026-05-14T08:48:00.552+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.554+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.556+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.558+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.561+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.563+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.567+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.570+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.572+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.574+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.576+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.579+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.582+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.585+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.588+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.591+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.602+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.604+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.607+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.610+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
[2026-05-14T08:48:00.612+0000] {logging_mixin.py:188} INFO - DB INSERT ERROR: current transaction is aborted, commands ignored until end of transaction block
